ID_Transaccion;Fecha_Venta;Region;Asesor_Venta;Producto;Monto_Venta;Dias_Mora
00001;11/09/2024;Este;CARLOS RUIZ;Credito Libranza;3989000;0
00002;10/08/2023;Este;LUIS TORRES;Seguro Vida;7939000;119
00003;22/11/2023;Este;Diana  Patricia;Microcredito;17828000;0
00004;10-Feb-2023;Sur;LUIS TORRES;Seguro Vida;2514000;0
00005;28/11/2024;Norte;  SOFIA RAMIREZ  ;Credito Libranza;43239000;0
00006;08/11/2023;Sur;LUIS TORRES;Credito Libranza;23228000;0
00007;31/10/2024;Centro;  miguel angel  ;Seguro Vida;6282000;84
00008;31/01/2023;Centro;LUCIA FERNANDEZ;Tarjeta Gold;21401000;0
00009;24/10/2024;Sur;  MIGUEL ANGEL  ;Tarjeta Gold;6685000;35
00010;23/05/2023;Norte;  SOFIA RAMIREZ  ;Seguro Vida;9086000;0
00011;10/06/2023;Sur;ANA LOPEZ;Credito Libranza;10631000;87
00012;03/03/2023;Sur;luis torres;Tarjeta Gold;38848000;32
00013;04/03/2023;Oeste;  Diana  Patricia  ;CDT;35366000;0
00014;09/05/2023;Sur;lucia fernandez;Microcredito;16094000;0
00015;15/04/2023;Norte;MARIA GOMEZ;Credito Libranza;13479000;0
00016;09/12/2023;Norte;LUIS TORRES;Tarjeta Gold;16048000;52
00017;07/09/2024;Sur;Diana  Patricia;Credito Libranza;33201000;0
00018;06-May-2023;Sur;MARIA GOMEZ;Credito Libranza;13035000;0
00019;10-Jan-2024;Oeste;ANA LOPEZ;Seguro Vida;14586000;0
00020;02/09/2023;Sur;LUIS TORRES;Seguro Vida;22080000;1
00021;27/04/2023;Este;  MIGUEL ANGEL  ;CDT;21731000;46
00022;16/12/2023;Centro;LUIS TORRES;Microcredito;45229000;0
00023;08/10/2023;Centro;ana lopez;Microcredito;10105000;0
00024;18/11/2023;Centro;lucia fernandez;Microcredito;48854000;0
00025;15/11/2024;Sur;  miguel angel  ;Microcredito;29732000;95
00026;20/07/2024;Sur;  MIGUEL ANGEL  ;Tarjeta Gold;13002000;0
00027;28/04/2024;Sur;Ana Lopez;CDT;9986000;0
00028;25/08/2024;Este;  Carlos Ruiz  ;CDT;23118000;76
00029;15/12/2024;Oeste;DIANA  PATRICIA;Credito Libranza;1373000;0
00030;04/04/2023;Sur;lucia fernandez;CDT;22683000;0
00031;29/05/2023;Norte;  Juan Perez  ;Tarjeta Gold;33077000;0
00032;08/12/2023;Centro;DIANA  PATRICIA;Tarjeta Gold;19662000;0
00033;07/10/2024;Norte;lucia fernandez;CDT;35533000;16
00034;03/08/2024;Oeste;  MIGUEL ANGEL  ;CDT;24960000;0
00035;28/07/2023;Norte;    MIGUEL ANGEL    ;Credito Libranza;16650000;0
00036;14/03/2024;Este;  miguel angel  ;Seguro Vida;46815000;0
